Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,60,Yes,500 - 999 employees,Telecommunications,Privately Held Company,CEO,USD (U.S. Dollar),445000,"$147,000","$383,000",975000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",6,Per request,No,,,Yes,Neither,No,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations",None at this time,"AI-enhanced attacks,Mobile / BYOD threats",Somewhat confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Synthetic,CIO,ThreatConnect
CIO,CIO,Male,"Seattle, WA, USA",Seattle,North America,69,No,1000 - 4999 employees,Enterprise Software,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),610000,,"$1,045,000",1655000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",72,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Other,"Dependency on AI vendors with unclear security practices,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,Identity/credential theft",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",I am the AI Security leader,Synthetic,CIO,World Wide Technology
CIO,CIO,Male,"Seattle, WA, USA",Seattle,North America,62,No,500 - 999 employees,Industrial / Manufacturing,Privately Held Company,CEO,USD (U.S. Dollar),315000,"$37,000",,352000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",60,At least quarterly,Yes,"$200,000","$200,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,5,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Phishing/social engineering",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Datto
CIO,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,72,Yes,"10,000 - 25,000 employees",Broadcasting / Media,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),370000,,255000,625000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",84,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,Yes,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,2,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,TrustArc
CIO,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,11,No,"25,000+ employees",Other,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),315000,"$52,000",,367000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",5,At least annually,No,,,No,Neither,No,Yes,Yes,Yes (Cash and / or Equity),Compliance and Regulatory Fine(s) Avoidance,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,20,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Open Systems
CIO,CIO,Prefer not to answer,"Salt Lake City, UT, USA",Salt Lake City,North America,12,Yes,"5000 - 9,999 employees",Enterprise Software,Privately Held Company,COO / President,USD (U.S. Dollar),325000,"$63,000","$447,000",835000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,GRC,Incident Response,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",1,I do not report to the Board of Directors,No,,,Yes,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Other",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Shadow AI,"Intellectual property theft through AI platforms,Regulatory compliance violations",Other,"AI-enhanced attacks,API security,Cloud misconfigurations,Identity/credential theft",Very confident,Risk of hiring someone who looks good on paper but lacks depth,Already have a dedicated AI Security leader in place,Synthetic,CIO,Bugcrowd
CIO / CISO,CIO,Male,"Boston, MA USA",Boston,North America,8,Yes,1000 - 4999 employees,Insurance,Privately Held Company,COO / President,USD (U.S. Dollar),365000,"$185,000","$500,000",1050000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Incident Response,Third Party Risk Management (TPRM)",30,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,0,Shadow AI,"Integration with critical systems creating attack vectors,AI decision-making in security tools creating blind spots,Intellectual property theft through AI platforms",None at this time,"Phishing/social engineering,Identity/credential theft,Cloud misconfigurations",Not confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
CIO/CISO,CIO,Male,Salt Lake City / Utah / USA,Salt Lake City,North America,9,Yes,1000 - 4999 employees,Manufacturing,Privately Held Company,CEO,USD (U.S. Dollar),300000,"$150,000","$250,000",700000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",110,At least quarterly,No,,,Yes,Neither,Yes,No,Yes,No,"Business Impact,Other",No,Other,Established and repeatable,5,Other,Regulatory compliance violations,NIST AI Risk Management Framework (AI RMF),Other,Not confident,"Time spent screening unqualified candidates,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
CIO/CISO,CIO,Male,"Pleasanton, CA, USA",Miami,North America,17,Yes,1000 - 4999 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),385000,"$75,000","$250,000",710000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",19,Per request,Yes,"$20,000.00","$20,000.00",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"Ransomware,Zero-day exploits",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Actual,CISO,
Chief Information Officer,CIO,Male,"Sacramento, USA",Sacramento,North America,1,No,"10,000 - 25,000 employees",Healthcare,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),490000,384000,"$425,000",1299000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Third Party Risk Management (TPRM)",18,Per request,Yes,"$50,000","$50,000",No,Neither,No,Yes,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Insider threats,Mobile / BYOD threats,Third party risk attacks,Zero-day exploits",Not confident,"Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Synthetic,CIO,Datadog
Chief Information Officer,CIO,Male,"Charlotte, NC, USA",Charlotte,North America,36,Yes,250 - 499 employees,Internet,Publicly Traded Company,CEO,USD (U.S. Dollar),385000,322000,"$400,000",1107000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",2,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,5,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,IoT/OT device vulnerabilities,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,I am the AI Security leader,Synthetic,CIO,Okta
Chief Information Officer,CIO,Male,"Boston, MA, USA",Boston,North America,40,No,"10,000 - 25,000 employees",Financial Services,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),470000,"$153,000","$542,000",1165000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM)",769,I do not report to the Board of Directors,No,,,No,Not Sure,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Developing but inconsistent,5,Shadow AI,Dependency on AI vendors with unclear security practices,Internal / proprietary AI risk framework,"API security,Insider threats",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Walmart
Chief Information Officer,CIO,Male,"Paris, USA",Paris,North America,12,Yes,"25,000+ employees",Retail,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),385000,"$317,000","$438,000",1140000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",14,Per request,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Shadow AI,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","Identity/credential theft,Zero-day exploits",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",I am the AI Security leader,Synthetic,CIO,Fortinet
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,91,Yes,250 - 499 employees,Other,Publicly Traded Company,CEO,USD (U.S. Dollar),385000,100000,"$770,000",1255000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Product Security / AppSec,Third Party Risk Management (TPRM)",6,At least quarterly,Yes,"$465,000","$465,000",No,Not Sure,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Established and repeatable,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),None at this time","AI-enhanced attacks,API security",Not confident,Competing with salary expectations in the market,No,Synthetic,CIO,Humana
Chief Information Officer,CIO,Male,"Dallas, TX, USA",Dallas,North America,110,No,500 - 999 employees,Enterprise Software,Publicly Traded Company,CEO,USD (U.S. Dollar),360000,"$121,000","$1,000,000",1481000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",48,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Shadow AI,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Insider threats,Phishing/social engineering",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,Delta Air Lines
Chief Information Officer,CIO,Male,"Newark, USA",Newark,North America,59,No,"25,000+ employees",Leisure / Hospitality,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),475000,"$96,000","$475,000",1046000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",629,At least semi-annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,10,Shadow AI,"Data exposure/privacy breaches,Other",None at this time,"Identity/credential theft,Phishing/social engineering,Ransomware",Very confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Applied Materials
Chief Information Officer,CIO,Male,"Boston, MA, USA",Boston,North America,24,No,1000 - 4999 employees,Retail,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),360000,"$131,000",300000,791000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",98,At least quarterly,Yes,"$100,000","$100,000",No,Neither,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,8,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations","EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management),Internal / proprietary AI risk framework","AI-enhanced attacks,Other",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Applied Materials
Chief Information Officer,CIO,Male,"Phoenix, AZ, USA",Phoenix,North America,8,Yes,1000 - 4999 employees,Financial Services,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),365000,"$158,000","$400,000",923000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",24,At least semi-annually,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",No,Workforce training and upskilling on AI risks,Developing but inconsistent,4,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Third party risk attacks,Zero-day exploits",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CIO,Cisco
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,5,No,500 - 999 employees,Enterprise Software,Publicly Traded Company,CEO,USD (U.S. Dollar),555000,100000,"$1,365,000",2020000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",12,At least quarterly,No,,,No,Not Sure,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,15,Shadow AI,AI decision-making in security tools creating blind spots,NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Insider threats,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,Wells Fargo
Chief Information Officer,CIO,Male,"Philadelphia, PA, USA",Philadelphia,North America,5,No,"5000 - 9,999 employees",Food & Beverage,Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),460000,100000,"$330,000",890000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Security Operations",4,Per request,No,,,No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,0,Managing third-party/vendor AI risk,Shadow AI usage bypassing security controls,NIST AI Risk Management Framework (AI RMF),"API security,Identity/credential theft",Don't Know / Not applicable,Uncertainty in defining the right skills and profile for the role,No,Synthetic,CIO,PepsiCo
Chief Information Officer,CIO,Male,"Tulsa, OK, USA",Tulsa,North America,4,No,"10,000 - 25,000 employees",Real Estate,Publicly Traded Company,COO / President,USD (U.S. Dollar),420000,"$72,000","$673,000",1165000,"AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,GRC,Incident Response,Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",453,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Phishing/social engineering",Very confident,Competing with salary expectations in the market,No,Synthetic,CIO,CyberArk
Chief Information Officer,CIO,Male,"Austin, TX, USA",Austin,North America,13,Yes,250 - 499 employees,Enterprise Software,Publicly Traded Company,CEO,USD (U.S. Dollar),440000,77000,"$355,000",872000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Product Security / AppSec",25,At least semi-annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",None at this time,"Cloud misconfigurations,Third party risk attacks",Somewhat confident,"Other,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Home Depot
Chief Information Officer,CIO,Male,"Milan, USA",Milan,North America,5,No,1000 - 4999 employees,Artificial Intelligence (AI),Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),390000,"$83,000","$400,000",873000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",12,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,Financial and/or Risk-Based Metrics,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,20,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors",Other,"AI-enhanced attacks,Identity/credential theft,Phishing/social engineering",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CIO,Target
Chief Information Officer,CIO,Male,"Miami, FL, USA",Miami,North America,84,Yes,250 - 499 employees,Broadcasting / Media,Publicly Traded Company,CEO,USD (U.S. Dollar),390000,"$209,000","$375,000",974000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Trust & Safety",16,At least quarterly,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Dependency on AI vendors with unclear security practices",EU AI Act requirements (compliance-driven),"API security,Cloud misconfigurations",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Oracle
Chief Information Officer,CIO,Male,"Washington, DC, USA",DMV,North America,24,Yes,"5000 - 9,999 employees",Banking / Financial Services,Publicly Traded Company,COO / President,USD (U.S. Dollar),445000,"$98,000","$517,000",1060000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",84,At least quarterly,No,,,No,Corporate Indemnification Policy,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Other,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),Other","Mobile / BYOD threats,Third party risk attacks",Very confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CIO,Chevron
Chief Information Officer,CIO,Male,"Houston, TX, USA",Houston,North America,54,No,"25,000+ employees",Telecommunications,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),370000,"$82,000","$448,000",900000,"AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",84,I do not report to the Board of Directors,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,10,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Third party risk attacks",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Yes,Synthetic,CIO,MGM Resorts
